OrderID,ProductID,Qty,Price,OrderDate
1,7,3.0,144.61,2021-01-01
2,4,1.0,337.73,2021-01-02
3,8,5.0,285.01,2021-01-03
4,5,14.0,336.3,2021-01-04
5,7,7.0,144.61,2021-01-05
6,10,9.0,486.14,2021-01-06
7,3,15.0,191.7,2021-01-07
8,7,15.0,144.61,2021-01-08
9,8,10.0,285.01,2021-01-09
10,5,13.0,336.3,2021-01-10
11,4,,337.73,2021-01-11
12,8,7.0,285.01,2021-01-12
13,8,17.0,285.01,2021-01-13
14,3,4.0,191.7,2021-01-14
15,6,,299.74,2021-01-15
16,5,7.0,336.3,2021-01-16
17,2,13.0,56.75,2021-01-17
18,8,15.0,285.01,2021-01-18
19,6,11.0,299.74,2021-01-19
20,2,4.0,56.75,2021-01-20
21,5,13.0,336.3,2021-01-21
22,1,7.0,230.23,2021-01-22
23,10,,486.14,2021-01-23
24,6,2.0,299.74,2021-01-24
25,9,10.0,197.63,2021-01-25
26,1,13.0,230.23,2021-01-26
27,10,6.0,486.14,2021-01-27
28,3,12.0,191.7,2021-01-28
29,7,12.0,144.61,2021-01-29
30,4,11.0,337.73,2021-01-30
31,9,7.0,197.63,2021-01-31
32,3,1.0,191.7,2021-02-01
33,5,1.0,336.3,2021-02-02
34,3,13.0,191.7,2021-02-03
35,7,9.0,144.61,2021-02-04
36,5,3.0,336.3,2021-02-05
37,9,7.0,197.63,2021-02-06
38,7,6.0,144.61,2021-02-07
39,2,8.0,56.75,2021-02-08
40,4,9.0,337.73,2021-02-09
41,9,5.0,197.63,2021-02-10
42,2,1.0,56.75,2021-02-11
43,10,19.0,486.14,2021-02-12
44,9,10.0,197.63,2021-02-13
45,10,12.0,486.14,2021-02-14
46,5,15.0,336.3,2021-02-15
47,2,,56.75,2021-02-16
48,4,17.0,337.73,2021-02-17
49,7,17.0,144.61,2021-02-18
50,8,12.0,285.01,2021-02-19
51,3,7.0,191.7,2021-02-20
52,1,2.0,230.23,2021-02-21
53,4,,337.73,2021-02-22
54,2,17.0,56.75,2021-02-23
55,8,5.0,285.01,2021-02-24
56,4,17.0,337.73,2021-02-25
57,2,17.0,56.75,2021-02-26
58,6,17.0,299.74,2021-02-27
59,6,2.0,299.74,2021-02-28
60,10,2.0,486.14,2021-03-01
61,4,5.0,337.73,2021-03-02
62,6,1.0,299.74,2021-03-03
63,2,,56.75,2021-03-04
64,10,19.0,486.14,2021-03-05
65,2,2.0,56.75,2021-03-06
66,10,12.0,486.14,2021-03-07
67,4,6.0,337.73,2021-03-08
68,8,4.0,285.01,2021-03-09
69,7,11.0,144.61,2021-03-10
70,9,17.0,197.63,2021-03-11
71,8,6.0,285.01,2021-03-12
72,5,5.0,336.3,2021-03-13
73,2,2.0,56.75,2021-03-14
74,5,6.0,336.3,2021-03-15
75,8,11.0,285.01,2021-03-16
76,10,,486.14,2021-03-17
77,9,,197.63,2021-03-18
78,9,1.0,197.63,2021-03-19
79,1,,230.23,2021-03-20
80,9,6.0,197.63,2021-03-21
81,7,16.0,144.61,2021-03-22
82,9,3.0,197.63,2021-03-23
83,8,4.0,285.01,2021-03-24
84,1,19.0,230.23,2021-03-25
85,8,3.0,285.01,2021-03-26
86,8,19.0,285.01,2021-03-27
87,3,7.0,191.7,2021-03-28
88,1,,230.23,2021-03-29
89,8,1.0,285.01,2021-03-30
90,3,8.0,191.7,2021-03-31
91,3,7.0,191.7,2021-04-01
92,1,18.0,230.23,2021-04-02
93,5,8.0,336.3,2021-04-03
94,10,1.0,486.14,2021-04-04
95,7,11.0,144.61,2021-04-05
96,10,18.0,486.14,2021-04-06
97,9,10.0,197.63,2021-04-07
98,7,3.0,144.61,2021-04-08
99,9,7.0,197.63,2021-04-09
100,8,16.0,285.01,2021-04-10
27,10,6.0,486.14,2021-01-27
32,3,1.0,191.7,2021-02-01
38,7,6.0,144.61,2021-02-07
87,3,7.0,191.7,2021-03-28
77,9,,197.63,2021-03-18
